Class Number,Class Name,Units,Description,Instructor,Terms Offered,Prerequisites,Equivalent Courses
ENGL ,The Poetry and Prose of John Donne,100 Units,"This course will examine the life and career of John Donne, one of the most important and influential early modern poets and thinkers writing in English. We will read Donne's love poetry, his religious poetry, his satirical poems, and his progress poems. We will also read some of his prose works: Devotions upon Emergent Occasions along with selections from his sermons and polemical treatises. Throughout, we will engage with the history of criticism and scholarship dedicated to Donne and his writings. (Pre-1650, Poetry)",Timothy Harrison,Winter,,
ENGL ,Academic and Professional Writing (The Little Red Schoolhouse)  100 Units,,"Academic and Professional Writing, a.k.a. ""The Little Red Schoolhouse""or ""LRS"" (English 13000/33000) is an advanced writing course for third- and fourth-year undergraduates who are taking courses in their majors or concentrations, as well as graduate students in all of the divisions and university professional programs. LRS helps writers communicate complex and difficult material clearly to a wide variety of expert and non-expert readers. It is designed to prepare students for the demands of academic writing at various levels, from the B.A. thesis to the academic article or book--and for the tasks of writing in professional contexts.","L. McEnerney, K. Cochran, T. Weiner","Spring
Winter",Third- or fourth-year standingNote(s): This course does not count towards the ISHU program requirements. May be taken for P/F grading by students who are not majoring in English. Materials fee $20.,ENGL 33000
ENGL ,The Future,100 Units,"This course focuses on the future as imagined by American science fiction of the 20th century.  On the one hand, we will pay attention to the scientific, political, and cultural contexts from which particular visions of the future emerged; on the other, we will work to develop an overarching sense of science fiction as a genre.  We will deploy different analytical paradigms (Formalist, Marxist, Feminist, &c.) to apprehend the stakes and the strategies for imagining future worlds.  After some initial attention to the magazine and pulp culture that helped to establish the genre, we will spotlight major SF movements (Afro Futurism, Cyberpunk, Biopunk, etc.) and major authors (including Robert Heinlein, Philip K. Dick, Ursula K. Le Guin, Samuel R. Delaney, William Gibson, and Octavia Butler).  Finally, we will use this 20th-century history to think about 21st-century SF work in different media (e.g., film, radio, graphic narrative). (Fiction, Theory)",Bill Brown,"WinterEquivalent Course(s): SIGN 26088, CCCT 13512",,"SIGN 26088, CCCT 13512"
ENGL ,Introduction to African American Literature 1892-1974,100 Units,"This course will examine the political considerations and the literary and critical texts that gave rise to the conception of, and the effort to establish, African American literature.  We will seek to understand why the idea of a black literature emerged and the way that this idea shaped aesthetic and critical practices for black writers over the course of the 20th century. (Fiction, Poetry, 1830-1990)",Ken Warren,Spring,,
ENGL ,"Conspiracy, Theorized",100 Units,"This course will explore the function of conspiracy theorizing in American politics and culture, focusing in particular on the relationship between the affective life of conspiracy theory and conspiracy theories' function as vernacular epistemologies of populist political critique. Why have conspiracy theories been so popular in American culture from the founding on? Why do they have such renewed energy today? How have conspiracy theories built upon one another to develop an alternate history of America and the world? In asking these questions, we will track how these theories reproduce ideologies of race, nation, empire, and gender. (Theory)",Christopher Taylor,Spring,,
ENGL ,Introduction to Asian American Literatures,100 Units,"This is a survey course that introduces students to the complex and uneven history of Asians in American from within a transnational context. As a class, we will look at Asian American texts and films while working together to create a lexicon of multilingual, immigrant realities. Through theoretical works that will help us define keywords in the field and a wide range of genres (novels, films, plays, and graphic novels), we will examine how Asia and Asians have been represented in the literatures and popular medias of America. Some of the assigned authors include, but are not limited to, Carlos Bulosan, Maxine Hong Kingston, Joy Kogawa, Fae Myenne Ng, Nora Okja Keller, Cathy Park Hong, Ted Chiang, and Yoko Tawada.",Mee-Ju Ro,"TBDEquivalent Course(s): RDIN 13580, CRES 13580",,"RDIN 13580, CRES 13580"
ENGL ,Crime/Fiction,100 Units,"What is the relationship between plotting a crime and plotting a narrative? In this course, we will examine the genre of crime fiction but work to push against the borders of the category to include works on and discussions about the politics and poetics of confession, the affinities between testimony and fiction, and the racialization of crime. (Fiction)",Mee-Ju Ro,Autumn,,
ENGL ,Race and Time,100 Units,"In this advanced undergraduate course, we will explore the relationship between race and time. How might a concept of time already be racialized? How does the racialized subject experience time? How might such a temporality be figured through literary narratives? We'll take up these and a host of other questions pertaining to the politics and poetics of time through a literary, theoretical, and cinematic study that asks us to think critically about schemas of time in the works of writers of colour. Some of the assigned authors and writers include, but are not limited to, Ted Chiang, Shani Mootoo, Toni Morrison, Octavia Butler, Jamaica Kincaid, Anna Lee Walters, Yoko Tawada, and Frantz Fanon.",Mee-Ju Ro,SpringEquivalent Course(s): CRES 13590,,CRES 13590
ENGL ,"Disability Now and Then: Bodies, Minds, Media",100 Units,"What do saints' lives and The Midnight Club (Netflix, 2022) have in common? If they seem historically distant, both texts nonetheless show disabled characters in complex relation to their communities. This course looks at contemporary texts alongside Middle English ones to ask how medieval English literature can illuminate our present understanding of disability in media. While Middle English literature lacks our term disability, it is populated with figures whose bodies and minds are depicted as deviating from the norm. Through pairings of medieval and contemporary texts, as well as disability theory readings, we will examine how stories now and then 1) moralize bodily difference, 2) figure disabled bodies of intersecting identities, and 3) attempt to express in words exclusion from and participation in communal life.   
Questions we will ask: How do the portrayals of disabled characters reveal a society's definition of the normal (what disability studies terms the ""normate"")? Which stereotypes do literary texts perpetuate about disability, and can we produce readings that counter these harmful portrayals? Can barriers to access lead to creativity and imagination?  Finally: what role do literary histories play in helping us understand medieval and contemporary conceptions of disability? Our work will culminate with a visit to the Newberry Library and a creative project.  (Pre-1650, Theory)",Jo Nixon,Spring,,
ENGL ,"War, Culture, and Imperialism: Russia and the West from the 19th Century to the Present",100 Units,"This course will survey literature shaped by the history of imperial conflict between Russia and ""The West,"" ultimately with a view to better understanding our current geopolitical situation and mediascape. The course will be anchored in the nineteenth century, focusing on writing related to the Crimean War (1853-6) and the long contest between Britain and Russia for domination in Central Asia and India known as ""The Great Game,"" but it will also provide a snapshot of Cold War cultural production, with an emphasis on ideological dissent among Black radicals and Russian emigres, before turning finally to our contemporary moment. (Fiction, 1830-1940)",Kevin King,WinterEquivalent Course(s): REES 15004,,REES 15004
ENGL ,Shakespeare I: Histories and Comedies,100 Units,"An exploration of some of Shakespeare's major plays from the first half of his professional career, when the genres in which he primarily worked were comedies and histories. Plays to be studied include The Comedy of Errors, The Taming of the Shrew, The Merchant of Venice, Measure for Measure, A Midsummer Night's Dream, Twelfth Night, Richard III, Richard II, and Henry V. Together, we will read some of Shakespeare's queerest and most delightful comedies in conversation with darker troubling plays that revolve around sexual violence, racism, nationalism, and political theory, and we will see how such topics put generic boundaries to the test. Valuing those classics for their timeless craft but also for the situated cultural horizon that they evidence, we will explore what it means to take comedy and history seriously. Three short papers will be required. (Pre-1650, Drama, 1650-1830)",Noémie Ndiaye,Autumn,General education requirement in the humanities.Note(s): Course includes a weekly discussion section.,"TAPS 28405, FNDL 21403"
ENGL ,Shakespeare II: Tragedies and Romances,100 Units,"This course explores mainly major plays representing the genres of tragedy and romance; most (but not all) date from the latter half of Shakespeare's career. After having examined how Shakespeare develops and deepens the conventions of tragedy in Hamlet, Othello, Macbeth, King Lear, and Antony and Cleopatra, we will turn our attention to how he complicates and even subverts these conventions in The Winter's Tale and Cymbeline. Throughout, we will treat the plays as literary texts, performance prompts, and historical documents. Section attendance is required. (Pre-1650, Drama)",Timothy Harrison,"AutumnEquivalent Course(s): TAPS 28406, FNDL 21404",,"TAPS 28406, FNDL 21404"
ENGL ,John Milton's Paradise Lost,100 Units,"In this course, we will read Milton's Paradise Lost, paying close attention to questions of genre, style, and poetics as well as the theological, philosophical, anthropological, and political commitments that shape its verse. Although we will focus on the epic itself, we will also consider highlights from the history of criticism and scholarship dedicated to the poem. (Poetry, 1650-1830)",Timothy Harrison,Autumn,,
ENGL ,The Declaration of Independence,100 Units,"This course offers an extended investigation of the origins, meanings, and legacies of one of the most consequential documents in world history: the Declaration of Independence. Primary and secondary readings provide a series of philosophical, political, economic, social, religious, literary, and legal perspectives on the text's sources and meanings; its drafting, circulation, and early reception in the age of the American Revolution; and its changing place in American culture and world politics over nearly 250 years. (1650-1830, 1830-1940)
In addition to the noted class times, there will also be discussion sections to be scheduled once the class begins.",Eric Slauter,"WinterEquivalent Course(s): FNDL 27950, SIGN 26039, HMRT 17950, LLSO 27950, HIST 17604",,"FNDL 27950, SIGN 26039, HMRT 17950, LLSO 27950, HIST 17604"
ENGL ,Culture and the Police,100 Units,"How do cultural products facilitate, abet, and enable the form of social ordering that we call policing? This course will explore the policing function of what modernity calls ""culture"" by exploring the parallel histories of policing, the emergence of modern police theory, and the rise of the novel. We will focus in particular on how both literature and the police emerge to navigate a series of linked epistemological and political problematics: the relation between particularity and abstraction, the relation between deviance and normalcy, and indeed that of authority as such. While we will focus on texts from the eighteenth- and nineteenth-century Atlantic world, students with a broader interest in policing are encouraged to enroll. Readings will include Aphra Behn, Daniel Defoe, Henry Fielding, G.W.F. Hegel, Louis Althusser, and Michel Foucault, in addition to historical documents including gallows narratives, newspapers, and early theorizations of the police concept. (Fiction, 1650-1830, 1830-1940, Theory)",Christopher Taylor,Autumn,This is a research and criticism seminar intended for third-year English majors.,CRES 18108
ENGL ,British and Irish Cinema Since 1930,100 Units,"We will be screening and discussing key films from almost a century's worth of cinema on the British-Irish archipelago, including works of the early Alfred Hitchcock, Alexander McKendrick, David Lean, Frank Launder, Michael Powell/Emeric Pressburger, Joseph Losey, Ken Loach, Mike Leigh, Stephen Frears, Neil Jordan, Amma Asante, Steve McQueen, and Lenny Abramson. Some priority will be given to films with London settings and locations, such as Frears's My Beautiful Launderette. We may also look at London-based films by non-British directors. Sylvio Narrizaon's George Girl, for example, or Antonioni's Blow-up. Possible field trips include Ealing Studios, site of British cinema for much of the twentieth century, and Hitchcock's studios in Islington, not far from our London Campus, where he worked before his departure for America.",James Chandler,Autumn,Admission to the London Study Abroad Program,
ENGL ,Zizek on Film,100 Units,"Slavoj Zizek has used film as the great expositor of his theories of ideology, perversion, sexuality, politics, nostalgia, and otherness. In this discussion-heavy course we will watch a lot of film from the directorial subjects of his main discussions (Chaplin, Rossellini, Lynch, Haneke, Kieślowski, Tarkovsky, von Trier, Hitchcock, and others) alongside Zizek's theoretical writings on their film. The course examines why for the man who has been called the ""Elvis of cultural theory"" film is such a perfect lens through which to examine social situatedness and intersubjective ""aporia."" There is no ""paperwork"" assigned for the course. The course is conducted seminar style and participants are expected to be vocal, prepared, and somewhat ornery.",,,,CMST 27201
ENGL ,Poetry in the Land of Childhood,100 Units,"Cupboards and attics, nests and shells, the inside of a bush, the bottom of a rowboat: for the 20th century philosopher Gaston Bachelard, intimate ""fibred"" spaces like these have a special relation to childhood-both as it is experienced and as it is remembered. Taking the lead from Bachelard this course investigates the construction, beginning in the eighteenth century, of childhood as a particular kind of place, one that might be imaginatively accessed through poetic images, rhythm, and rhyme. Our readings will come from the eighteenth and nineteenth centuries-that is, from the birth of children's literature to its ""golden age""-and will take us from the nursery rhymes and cradle songs of early children's poetry collections, through William Blake's ""forests of the night,"" and to the wonderland of Lewis Carroll's Alice books. (Poetry, 1650-1830, 1830-1990)",Alexis Chema,SpringEquivalent Course(s): GNSE 19205,,GNSE 19205
ENGL ,Mary Wollstonecraft and Mary Shelley,100 Units,"This course examines the major works-novels, political treatises, letters, travel essays-of two of Romanticism's most influential women writers. We will attend to historical, intellectual, and cultural contexts as well as matters of literary concern, such as their pioneering development of modes like gothic and science/speculative fiction, Wollstonecraft's stylistic theories, and Shelley's scenes of imaginative sympathy. (Fiction, 1650-1830).",Alexis Chema,"SpringEquivalent Course(s): GNSE 19500, FNDL 29501",,"GNSE 19500, FNDL 29501"
ENGL ,Virginia Woolf and the Bloomsbury Group,100 Units,"A controversial art exhibition organized by Roger Fry, ""Manet and the Post-Impressionists,"" provoked Virginia Woolf to write that ""on or about December 1910 human character changed."" The Bloomsbury Group, renowned for its role in vilifying Victorian culture and promoting English modernism, was no less famous for its own efforts to change human character: for its unprecedented understanding of aesthetics, economics, social politics, and sexuality.  Taking advantage of our particular location in London (the neighborhood in which the group lived, met, wrote, and painted), this course will provide the opportunity to engage a broad spectrum of Bloomsbury work: the essays and fiction of Virginia Woolf; the art of Venessa Bell, Duncan Grant, and Roger Fry; the macroeconomics of John Maynard Keynes.  This engagement will unfold through different analytics (formalist, psychoanalytic, materialist), and with sustained recognition of two Bloomsbury institutions-the short-lived Omega Workshops, and the enduring Hogarth Press.  The British Library and the Tate Modern will provide us with intimate access to literary and visual texts, and we will talk with contemporary writers about the cultural legacy of this coterie. (Fiction, 1830-1990)",Bill Brown,Autumn,Admission to the London Program (study abroad) is required.,
ENGL ,Comedy from the Margins,100 Units,"This course examines the centrality of normativity to our conceptions of funniness, reading theories of comedy alongside stand-up, sitcoms, dramedy, and romantic comedy. We will ask: in what ways do comedic formulas establish ideas of the ""normal"" in order to subvert (or perhaps reinforce) them? How, does comedy about the ""strange""-as the foreign, the queer, the excessive or the abject-reframe structures of sociality often taken for granted, forcing us to grapple with questions of citizenship and belonging, gendered and sexual norms, racialization and power? In addition to theories of comedy and joke theory, students will analyze theoretical works on race, gender and sexuality alongside popular television series, talk shows, and comedy specials. Possible texts and comics include: Chewing Gum, Fleabag, Insecure, Reservation Dogs, Ramy, Atlanta, Awkwafina is Nora from Queens, Julio Torres, Hasan Minhaj, Ali Wong, Jacqueline Novak, Dave Chappelle, Hannah Gadsby, and Ronny Chieng. (Theory, 1830-1940)",Shirl Yang,"SpringEquivalent Course(s): ENGL 39960, CRES 19960, GNSE 19960",,"ENGL 39960, CRES 19960, GNSE 19960"
ENGL ,Organized Crime Fiction,100 Units,"This course takes up cultural representations of organized crime in literature, film, and television as loci for thinking about intersections of capitalism, globalism, migration, violence, and family. Texts may include My Brilliant Friend, The Godfather, Infernal Affairs, The Wire, Eastern Promises, and Shark Tale. (Fiction, Theory)",Jennifer Yida Pan,Spring,,
ENGL ,History of the English Language,100 Units,"If you have ever wondered why we say, ""one mouse"" and ""two mice,"" but not ""one house"" and ""two hice,"" this course will offer some answers. We will study the historical development of the English language, from its Proto-Indo-European roots through its earliest recorded forms (Old English, Middle English, and Early Modern English) up to its current status as a world language. Now spoken by more than 1.5 billion people, English is a language that is constantly evolving, and students will gain basic linguistic skills necessary for analyzing the features of its evolution. We will study variations in the language (including variations in morphology, phonology, syntax, grammar, and vocabulary) and its development over time and across regions. We will also examine sociological, political, and literary phenomena that accompany and shape these changes in the language.  (Pre-1650, 1650-1830, 1830-1990)",Benjamin Saltzman,Spring,,
ENGL ,London: From Industrial City to Financial Center,100 Units,"Over the last two centuries, London has undergone two ""revolutions,"" the industrial revolution and the financialization revolution, both of which have had significant impacts on the built landscape and residential patterns of its neighborhoods. Some of the materials we will look at are Charles Dickens's Oliver Twist, George Gissing's The Netherworld, Mike Leigh's High Hopes, John Lanchester's Capital, among other supporting texts (on urban globalization, the poverty maps of Michael Booth). (Fiction, 1830-1990).",Elaine Hadley,Autumn,Admission to London Program (study abroad) required.,
ENGL ,English Renaissance Verse and the Poetics of Place,100 Units,"This course will explore sixteenth- and seventeenth-century English poetry by focusing on the poetic treatments of diverse places, including commercial, legal, and theatrical London venues, courtly palaces, aristocratic country houses and rural estates, churches, prisons, and imaginary landscapes.  Poets might include Wyatt, Spenser, Sidney, Shakespeare, Donne, Jonson, Herbert, Herrick, Lovelace, Milton, Marvell, Philips, and Cowley. Genres might include sonnet, epithalamion, satire, pastoral, georgic, epistle, epigram, country-house poem, and ode.  Trips within and close to London might include the Tower of London, the Whitehall Banqueting House, the Globe Theater, Hampton Court, Penshurst Place, and Knole. (Poetry, Pre-1650, 1650-1830)",Joshua Scodel,Autumn,Admission to the London Program (study abroad) is required.,
ENGL ,"Living (in) London: Human City, Urban Spaces, Metropolitan Encounters",100 Units,"How have people inhabited London over time? And how are these varied forms of living reflected in the vast body of texts by writers and film makers who have made London their home? National capital and imperial metropolis, London is also a network of local neighborhoods in which communities have developed over time. In this course we will examine texts by an assortment of Londoners from the 19th and 20th centuries who write about urban sites of human interaction and encounter. Our course will consider London locations as places of compassion, repression, brutality, hospitality and rejection, resistance and compliance, friendship and love. How are these possibilities - both affective and political, personal and public - related to the various environments of the city? How are human relationships shaped by the specific forms of city buildings and institutions? And how have these urban places been impacted by styles of city living, changing populations, and the different communities that have inhabited them? In short, how do Londoners live together? Our texts will include Mary Prince, History of a West Indian Slave, William Blake, Songs of Innocence and Experience, Thomas De Quincey, Confessions of an English Opium Eater, Christina Rossetti, Goblin Market, James Berry, Windrush Songs, Derek Jarman, ""The Last of England"", Steve McQueen, ""Mangrove"", and essays by Michel De Certeau, Henri Lefebvre, and Ghassan Hage.",Jo McDonagh,Autumn,Admission to the London Program (study abroad) is required.,
ENGL ,21st Century Ethnic American Literature,100 Units,"This class will read US novels and short stories by African-American, American Indian, Asian-American, and Latinx writers from the last twenty years to conceptualize the shifting categories of race and ethnicity, paired with critical and theoretical works in critical cultural race studies. (20th/21st)",Megan Tusler,"WinterEquivalent Course(s): AMER 40161, ENGL 40161, CRES 40161, MAPH 40161, CRES 22161",,"AMER 40161, ENGL 40161, CRES 40161, MAPH 40161, CRES 22161"
ENGL ,Eighteenth-Century Black Lives: Black London in and Around Abolition,100 Units,"This course will focus on representations of Black life and experience in literature published during the age of the British slave trade and abolition, as well as on more recent writing that seeks to imagine, honor, or reckon with the unrepresented Black lives of this period. 
During the first two weeks of the course, our reading will center on eighteenth-century writing. Primarily, we will focus on the work of prominent Black writers in London in and around abolition, including the life narratives of the formerly enslaved Olaudah Equiano (1789), Ottobah Cugoano (1787), and Mary Prince (1831), the published letters of Ignatius Sancho (1780), and the poetry of Phillis Wheatley Peters (1773). We may also read selections from white-authored abolitionist poetry, relevant legal cases, as well as the anonymously published novel, The Woman of Colour (1808).
In our third week, we will tum to a number of recent works that look back to the eighteenth century in order to reimagine the past and present of Black life in British culture, or to reclaim ·a place in the national imaginary: Honoree Fanonne Jeffers' The Age of Phillis, M. NourbeSe Philip's Zangl, and perhaps a play or two 0asmine Lee-Jones' Curious, Jackie Sibblies Drury's Marys S eacole, Giles Terera's The Meaning of Zon!).
We will supplement our reading with selections from historians, cultural theorists, and literary critics (likely to include Paul Gilroy, Christina Sharpe, Simon Gikandi, Peter Fryer, and others).",Heather Keenleyside,Autumn,Admission to the London Program (study abroad) is required.,
ENGL ,Experiments in Kinship and Care,100 Units,"In this class, we'll examine the notions of kinship and care, analyzing them both as conceptual frameworks and as concrete forms of being-together in human and more-than-human relations. Kinship and care are uncertain territories, fluctuating and dynamic; sites of possibility and futurity. Kin-making and care-giving practices reveal existing structures of oppression as well as the utopian possibilities within relation. We'll spend much of our time engaging with a set of ""experiments"" or case studies-historical, science fictional, and critical accounts of community-to see how connection appears as a mode of resistance or survival. Throughout, our collective goal will be to think together about living together. Readings may include SF from Octavia Butler, Claire Coleman, Ursula Le Guin, Wu Ming-Yi; theoretical and critical work from Sara Ahmed, Leela Gandhi, Donna Haraway, Laura Harjo, Saidiya Hartman, Kara Keeling, Audre Lorde, José Esteban Muñoz, Maria Puig de la Bellacasa, Dean Spade, Kim Tallbear, Anna Tsing.",William Hutchison,"WinterEquivalent Course(s): ENGL 40170, MAPH 40170, GNSE 21170, GNSE 41170",,"ENGL 40170, MAPH 40170, GNSE 21170, GNSE 41170"
ENGL ,"Robots, animals, technologies: Science fiction and the more-than-human",100 Units,"Science fiction allows encounters with other beings that variously encourage or strain the bonds of kinship, and many of those beings are related to entities with whom we already share a world. From companion animals and modified humans to starfish and androids, estrangement from familiar categories allows us to trouble assumptions about the certainty of species, the superiority of consciousness, and what care looks like in relation with those who may not respond to, recognize, or return care in familiar ways. In this class, we'll look at relations with the more-than-human in the context of urgent and emergent lived experience, in which social, political, and environmental realities require a response that thinks beyond entrenched approaches and takes wild and revolutionary imagination as a reparative possibility. We'll explore these and other questions through science fiction novels, poetry, graphic novels, music, and video (by Octavia Butler, Ursula Le Guin, Vonda McIntyre, Janelle Monae, Grant Morrison, Margaret Rhee, and others). We'll engage with theoretical work on topics including multispecies kinship, race and technology, and non-conscious/non-biological life (by Karen Barad, Beth Coleman, Wendy Chun, Donna Haraway, N. Katherine Hayles, Shannon Mattern, Sophia Roosth, Alan Turing, and others). [Note: this class pairs well with ""Rocks, plants, ecologies: science fiction and the more-than-human"" offered in Spring, and may also be taken as a stand-alone course.]",William Hutchison,"WinterEquivalent Course(s): MAAD 25171, MAPH 40171, ENGL 40171",,"MAAD 25171, MAPH 40171, ENGL 40171"
ENGL ,Women Writing God,100 Units,"This course examines imaginative works by women that take on the task of representing divine or supernatural being from the medieval era to the present. Drawing on the work of critics such as Luce Irigaray, Caroline Walker Bynum, and Judith Butler, we explore what strategies these writers employ to depict an entity simultaneously understood to be unrepresentable and to have a masculine image. Texts range from premodern mystics such as Julian of Norwich and Teresa of Avila to Octavia Butler's Parable of the Sower. (Med/Ren)",Sarah Kunjummen,"WinterNote(s): Instructor consent required for first and second year undergraduates.Equivalent Course(s): ENGL 40180, GNSE 45180, MAPH 40180, GNSE 25180",,"ENGL 40180, GNSE 45180, MAPH 40180, GNSE 25180"
